-------------------- 11x11 grids --------------------
Success on 9 | Time: 179.146
Success on 10 | Time: 44.719
Success on 11 | Time: 41.177
Success on 12 | Time: 40.854
Success on 13 | Time: 41.063
Success on 14 | Time: 46.604
Success on 15 | Time: 51.802
Success on 16 | Time: 76.875
Success on 17 | Time: 89.688
Success on 18 | Time: 78.167
Success on 19 | Time: 62.771
Success on 20 | Time: 74.573
Success on 21 | Time: 51.51
Success on 22 | Time: 45.344
Success on 23 | Time: 45.26
Success on 24 | Time: 109.01
Success on 25 | Time: 41.26
Success on 26 | Time: 54.906
Success on 27 | Time: 46.865
Success on 28 | Time: 41.292
Success on 29 | Time: 93.146
Success on 30 | Time: 69.969
Success on 31 | Time: 104.875
Success on 32 | Time: 41.438
Success on 33 | Time: 88.115
Success on 34 | Time: 84.406
Success on 35 | Time: 40.99
Success on 36 | Time: 41.875
Success on 37 | Time: 63.698
Success on 38 | Time: 101.979
Success on 39 | Time: 41.344
Success on 40 | Time: 46.417
Success on 41 | Time: 127.5
Success on 42 | Time: 88.583
Success on 43 | Time: 101.458
Success on 44 | Time: 41.563
Success on 45 | Time: 46.302
Success on 46 | Time: 74.688
Success on 47 | Time: 65.594
Success on 48 | Time: 45.198
Success on 49 | Time: 122.948
Success on 50 | Time: 55.75
Success on 51 | Time: 102.083
Success on 52 | Time: 38.979
Success on 53 | Time: 54.76
Success on 54 | Time: 136.24
Success on 55 | Time: 50.271
Success on 56 | Time: 51.792
Success on 57 | Time: 50.844
Success on 58 | Time: 45.135
Success on 59 | Time: 40.802
Success on 60 | Time: 37.479
Success on 61 | Time: 38.177
Success on 62 | Time: 50.688
Success on 63 | Time: 52.198
Success on 64 | Time: 139.51
Success on 65 | Time: 64.167
Success on 66 | Time: 56.75
Success on 67 | Time: 40.958
Success on 68 | Time: 40.094
Success on 69 | Time: 51.792
Success on 70 | Time: 51.51
Success on 71 | Time: 39.99
Success on 72 | Time: 61.406
Success on 73 | Time: 67.188
Success on 74 | Time: 45.771
Success on 75 | Time: 101.917
Success on 76 | Time: 78.688
Success on 77 | Time: 55.792
Success on 78 | Time: 58.979
Success on 79 | Time: 40.802
Success on 80 | Time: 90.646
Success on 81 | Time: 66.573
Success on 82 | Time: 61.229
Success on 83 | Time: 45.177
Success on 84 | Time: 52.583
Success on 85 | Time: 40.01
Success on 86 | Time: 50.698
Success on 87 | Time: 36.708
Success on 88 | Time: 51.135
Success on 89 | Time: 44.167
Success on 90 | Time: 66.302
Success on 91 | Time: 102.938
Success on 92 | Time: 51.281
Success on 93 | Time: 55.844
Success on 94 | Time: 58.448
Success on 95 | Time: 62.458
Success on 96 | Time: 104.76
Success on 97 | Time: 40.948
Success on 98 | Time: 87.802
Success on 99 | Time: 42.74
-------------------- 23x23 grids --------------------
Success on 0 | Time: 42.979
Success on 1 | Time: 40.979
Success on 2 | Time: 64.667
Success on 3 | Time: 51.135
Success on 4 | Time: 43.979
Success on 5 | Time: 74.0
Success on 6 | Time: 74.021
Success on 7 | Time: 87.51
Success on 8 | Time: 45.458
Success on 9 | Time: 179.583
Success on 10 | Time: 44.406
Success on 11 | Time: 40.719
Success on 12 | Time: 41.313
Success on 13 | Time: 41.552
Success on 14 | Time: 46.792
